empID,YearsExperience,Age,BTech?,MTech?,PhD?,Name,address,phone,branch,Salary
1001,1.1,30,1,1,1,Mr X-ds-1,Kolkata,9890078900,Ruby,39343
1002,1.3,31,1,1,1,Mr X-ds-2,Kolkata,9890078901,Ruby,46205
1003,1.5,32,1,1,1,Mr X-ds-3,Kolkata,9890078902,Ruby,37731
1004,2,33,1,1,1,Mr X-ds-4,Kolkata,9890078903,Ruby,43525
1005,2.2,34,1,1,1,Mr X-ds-5,Kolkata,9890078904,Ruby,39891
1006,2.9,35,1,1,1,Mr X-ds-6,Kolkata,9890078905,Ruby,56642
1007,3,36,1,1,1,Mr X-ds-7,Kolkata,9890078906,Ruby,60150
1008,3.2,37,1,1,1,Mr X-ds-8,Kolkata,9890078907,Ruby,54445
1009,3.2,38,1,1,1,Mr X-ds-9,Kolkata,9890078908,Ruby,64445
1010,3.7,39,1,1,1,Mr X-ds-10,Kolkata,9890078909,Ruby,57189
1011,3.9,40,1,1,1,Mr X-ds-11,Kolkata,9890078910,Ruby,63218
1012,4,41,1,1,1,Mr X-ds-12,Kolkata,9890078911,Ruby,55794
1013,4,42,1,1,1,Mr X-ds-13,Kolkata,9890078912,Ruby,56957
1014,4.1,43,1,1,1,Mr X-ds-14,Kolkata,9890078913,Ruby,57081
1015,4.5,44,1,1,1,Mr X-ds-15,Kolkata,9890078914,Ruby,61111
1016,4.9,45,1,1,1,Mr X-ds-16,Kolkata,9890078915,Ruby,67938
1017,5.1,46,1,1,1,Mr X-ds-17,Kolkata,9890078916,Ruby,66029
1018,5.3,47,1,1,1,Mr X-ds-18,Kolkata,9890078917,Ruby,83088
1019,5.9,48,1,1,1,Mr X-ds-19,Kolkata,9890078918,Ruby,81363
1020,6,49,1,1,1,Mr X-ds-20,Kolkata,9890078919,Ruby,93940
1021,6.8,50,1,1,1,Mr X-ds-21,Kolkata,9890078920,Ruby,91738
1022,7.1,30,1,1,1,Mr X-ds-22,Kolkata,9890078921,Ruby,98273
1023,7.9,31,1,1,1,Mr X-ds-23,Kolkata,9890078922,Ruby,101302
1024,8.2,32,1,1,1,Mr X-ds-24,Kolkata,9890078923,Ruby,113812
1025,8.7,33,1,1,1,Mr X-ds-25,Kolkata,9890078924,Ruby,109431
1026,9,34,1,1,1,Mr X-ds-26,Kolkata,9890078925,Ruby,105582
1027,9.5,35,1,1,1,Mr X-ds-27,Kolkata,9890078926,Ruby,116969
1028,9.6,36,1,1,1,Mr X-ds-28,Kolkata,9890078927,Ruby,112635
1029,10.3,37,1,1,1,Mr X-ds-29,Kolkata,9890078928,Ruby,122391
1030,10.5,38,1,1,1,Mr X-ds-30,Kolkata,9890078929,Ruby,121872
1031,1.1,39,1,1,1,Mr X-ds-31,Kolkata,9890078930,Ruby,NaN
1032,1.1,40,1,1,1,Mr X-ds-32,Kolkata,9890078931,Ruby,NaN
1033,1.1,41,1,1,1,Mr X-ds-33,Kolkata,9890078932,Ruby,NaN
1034,1.1,42,1,1,1,Mr X-ds-34,Kolkata,9890078933,Ruby,NaN
1035,1.1,43,1,1,1,Mr X-ds-35,Kolkata,9890078934,Ruby,NaN
1036,1.1,44,1,1,1,Mr X-ds-36,Kolkata,9890078935,Ruby,NaN
1037,1.1,45,1,1,1,Mr X-ds-37,Kolkata,9890078936,Ruby,NaN
1038,1.1,46,1,1,1,Mr X-ds-38,Kolkata,9890078937,Ruby,NaN
1039,1.1,47,1,1,1,Mr X-ds-39,Kolkata,9890078938,Ruby,NaN
1040,1.1,48,1,1,1,Mr X-ds-40,Kolkata,9890078939,Ruby,NaN
1041,1.1,49,1,1,1,Mr X-ds-41,Kolkata,9890078940,Ruby,NaN
1042,1.1,50,1,1,1,Mr X-ds-42,Kolkata,9890078941,Ruby,NaN
1043,1.1,30,1,1,1,Mr X-ds-43,Kolkata,9890078942,Ruby,NaN
1044,1.1,31,1,1,1,Mr X-ds-44,Kolkata,9890078943,Ruby,NaN
1045,1.1,32,1,1,1,Mr X-ds-45,Kolkata,9890078944,Ruby,NaN
1046,1.1,33,1,1,1,Mr X-ds-46,Kolkata,9890078945,Ruby,NaN
1047,1.1,34,1,1,1,Mr X-ds-47,Kolkata,9890078946,Ruby,NaN
1048,1.1,35,1,1,1,Mr X-ds-48,Kolkata,9890078947,Ruby,NaN
1049,1.1,36,1,1,1,Mr X-ds-49,Kolkata,9890078948,Ruby,NaN
1050,1.1,37,1,1,1,Mr X-ds-50,Kolkata,9890078949,Ruby,NaN
1051,1.1,38,1,1,1,Mr X-ds-51,Kolkata,9890078950,Ruby,NaN
1052,1.1,39,1,1,1,Mr X-ds-52,Kolkata,9890078951,Ruby,NaN
1053,1.1,40,1,1,1,Mr X-ds-53,Kolkata,9890078952,Ruby,NaN
1054,1.1,41,1,1,1,Mr X-ds-54,Kolkata,9890078953,Ruby,NaN
1055,1.1,42,1,1,1,Mr X-ds-55,Kolkata,9890078954,Ruby,NaN
1056,1.1,43,1,1,1,Mr X-ds-56,Kolkata,9890078955,Ruby,NaN
1057,1.1,44,1,1,1,Mr X-ds-57,Kolkata,9890078956,Ruby,NaN
1058,1.1,45,1,1,1,Mr X-ds-58,Kolkata,9890078957,Ruby,NaN
1059,1.1,46,1,1,1,Mr X-ds-59,Kolkata,9890078958,Ruby,NaN
1060,1.1,47,1,1,1,Mr X-ds-60,Kolkata,9890078959,Ruby,NaN
1061,1.1,48,1,1,1,Mr X-ds-61,Kolkata,9890078960,Ruby,39343
1062,2.1,49,1,1,1,Mr X-ds-62,Kolkata,9890078961,Ruby,46205
1063,3.1,50,1,1,1,Mr X-ds-63,Kolkata,9890078962,Ruby,37731
1064,4.1,30,1,1,1,Mr X-ds-64,Kolkata,9890078963,Ruby,43525
1065,5.1,31,1,1,1,Mr X-ds-65,Kolkata,9890078964,Ruby,39891
1066,6.1,32,1,1,1,Mr X-ds-66,Kolkata,9890078965,Ruby,56642
1067,7.1,33,1,1,1,Mr X-ds-67,Kolkata,9890078966,Ruby,60150
1068,8.1,34,1,1,1,Mr X-ds-68,Kolkata,9890078967,Ruby,54445
1069,9.1,35,1,1,1,Mr X-ds-69,Kolkata,9890078968,Ruby,64445
1070,8.1,36,1,1,1,Mr X-ds-70,Kolkata,9890078969,Ruby,57189
1071,7.1,37,1,1,1,Mr X-ds-71,Kolkata,9890078970,Ruby,63218
1072,6.1,38,1,1,1,Mr X-ds-72,Kolkata,9890078971,Ruby,55794
1073,5.1,39,1,1,1,Mr X-ds-73,Kolkata,9890078972,Ruby,56957
1074,4.1,40,1,1,1,Mr X-ds-74,Kolkata,9890078973,Ruby,57081
1075,3.1,41,1,1,1,Mr X-ds-75,Kolkata,9890078974,Ruby,61111
1076,2.1,42,1,1,1,Mr X-ds-76,Kolkata,9890078975,Ruby,67938
1077,1.1,43,1,1,1,Mr X-ds-77,Kolkata,9890078976,Ruby,66029
1078,2.1,44,1,1,1,Mr X-ds-78,Kolkata,9890078977,Ruby,83088
1079,3.1,45,1,1,1,Mr X-ds-79,Kolkata,9890078978,Ruby,81363
1080,4.1,46,1,1,1,Mr X-ds-80,Kolkata,9890078979,Ruby,93940
1081,5.1,47,1,1,1,Mr X-ds-81,Kolkata,9890078980,Ruby,91738
1082,6.1,48,1,1,1,Mr X-ds-82,Kolkata,9890078981,Ruby,98273
1083,7.1,49,1,1,1,Mr X-ds-83,Kolkata,9890078982,Ruby,101302
1084,8.1,50,1,1,1,Mr X-ds-84,Kolkata,9890078983,Ruby,113812
1085,9.1,30,1,1,1,Mr X-ds-85,Kolkata,9890078984,Ruby,109431
1086,10.1,31,1,1,1,Mr X-ds-86,Kolkata,9890078985,Ruby,105582
1087,11.1,32,1,1,1,Mr X-ds-87,Kolkata,9890078986,Ruby,116969
1088,12.1,33,1,1,1,Mr X-ds-88,Kolkata,9890078987,Ruby,112635
1089,13.1,34,1,1,1,Mr X-ds-89,Kolkata,9890078988,Ruby,122391
1090,14.1,35,1,1,1,Mr X-ds-90,Kolkata,9890078989,Ruby,121872
1091,1.1,36,1,1,1,Mr X-ds-91,Kolkata,9890078990,Ruby,39343
1092,2.1,37,1,1,1,Mr X-ds-92,Kolkata,9890078991,Ruby,46205
1093,3.1,38,1,1,1,Mr X-ds-93,Kolkata,9890078992,Ruby,37731
1094,4.1,39,1,1,1,Mr X-ds-94,Kolkata,9890078993,Ruby,43525
1095,5.1,40,1,1,1,Mr X-ds-95,Kolkata,9890078994,Ruby,39891
